18 Pa.C.S. §  ,DESCRIPTION,STATUTORY CLASS,§  303.3 OFFENSE GRAVITY SCORE,§  303.7
4952(a)(6),Intimidation of witness/victim-absent from proceeding (listed factor),F-3,7,1
4952(a)(6),Intimidation of witness/victim-absent from proceeding (general),M-2,5,m
4953(a),Retaliation against witness/victim-listed factor,F-3,8,1
4953(a),Retaliation against witness/victim-general,M-2,5,m
4953.1(a),Retaliation against prosecutor/judicial,F-2,9,2
,official-listed factor,,,
4953.1(a),Retaliation against prosecutor/judicial,M-1,6,m
,official-general,,,
4958(a)(1),Intimidation child abuse case-knowledge/,M-2,5,m
,"intent to impede, etc.",,,
4958(a)(1),Intimidation child abuse case-knowledge/,F-2,7,2
,"intent to impede, etc. (force, etc.)",,,
4958(a)(1),Intimidation child abuse case-knowledge/,F-2,7,2
,"intent to impede, etc. (benefit)",,,
4958(a)(1),Intimidation child abuse case-knowledge/,F-2,7,2
,"intent to impede, etc. (furtherance consp)",,,
4958(a)(1),Intimidation child abuse case-knowledge/,F-2,7,2
,"intent to impede, etc. (other person)",,,
4958(a)(1),Intimidation child abuse case-knowledge/,F-2,7,2
,"intent to impede, etc. (prior conv)",,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,M-2,5,m
,attempt refrain from/cause not report,,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,F-2,7,2
,"attempt refrain from/cause not report (force, etc.)",,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt refrain from/cause not report (benefit),,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt refrain from/cause not report (furtherance consp),,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt refrain from/cause not report (other person),,,
4958(a)(2)(i),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt refrain from/cause not report (prior conv),,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,M-2,5,m
,attempt withhold information,,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,F-2,7,2
,"attempt withhold information (force, etc.)",,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt withhold information (benefit),,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt withhold information (furtherance consp),,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt withhold information (other person),,,
4958(a)(2)(ii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt withhold information (prior conv),,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,M-2,5,m
,attempt false/misleading information,,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,F-2,7,2
,"attempt false/misleading information (force, etc.)",,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt false/misleading information (benefit),,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt false/misleading information (furtherance consp),,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt false/misleading information (other person),,,
4958(a)(2)(iii),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt false/misleading information (prior conv),,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,M-2,5,m
,attempt evade etc. request/legal process,,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt evade etc. request/legal process (force),,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt evade etc. request/legal process (benefit),,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt evade etc. request/legal process (furtherance consp),,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt evade etc. request/legal process,,,
,(other person),,,
4958(a)(2)(iv),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt evade etc. request/legal process (prior conv),,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,M-2,5,m
,attempt fail appear/participate legal process,,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt fail appear/participate legal process (force),,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt fail appear/participate legal process (benefit),,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt fail appear/participate legal process (furtherance consp),,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt fail appear/participate legal process (other person),,,
4958(a)(2)(v),Intimidation child abuse cases-intimidate/,F-2,7,2
,attempt fail appear/participate legal process (prior conv),,,
4958(b),Retaliation child abuse cases,M-2,5,m
4958(b),Retaliation child abuse cases (force),F-2,8,2
4958(b),Retaliation child abuse cases (benefit),F-2,8,2
4958(b),Retaliation child abuse cases (furtherance consp),F-2,8,2
4958(b),Retaliation child abuse cases (other person),F-2,8,2
4958(b),Retaliation child abuse cases (prior conv),F-2,8,2
4958(b.1),Obstruction child abuse cases,M-2,5,m
4958(b.1),Obstruction child abuse cases (force),F-2,7,2
4958(b.1),Obstruction child abuse cases (benefit),F-2,7,2
4958(b.1),Obstruction child abuse cases (furtherance consp),F-2,7,2
4958(b.1),Obstruction child abuse cases (other person),F-2,7,2
4958(b.1),Obstruction child abuse cases (prior conv),F-2,7,2
5101,Obstructing admin. of law/other govt.,M-2,3,m
,function,,,
5102(a),Obstructing/impeding justice by picketing,M-2,2,m
5103,Unlawfully listening into deliberations of jury,M-3,1,m
5104,"Resisting arrest, etc.",M-2,2,m
5104.1(a),Disarming law enforcement officer,F-3,5,1
5105(a)(1),Hindering apprehension-harbors/conceals,M-2,2,m
5105(a)(1),Hindering apprehension-harbors/conceals (charge is F1/F2),F-3,4,1
5105(a)(2),Hindering apprehension-provides aid to avoid apprehension,M-2,2,m
5105(a)(2),Hindering apprehension-provides aid to avoid apprehension (charge is F1/F2),F-3,4,1
5105(a)(3),Hindering apprehension-conceal/destroy evidence,M-2,2,m
5105(a)(3),Hindering apprehension-conceal/destroy evidence (charge is F1/F2),F-3,4,1
5105(a)(4),Hindering apprehension-warn of apprehension,M-2,2,m
5105(a)(4),Hindering apprehension-warn of apprehension (charge is F1/F2),F-3,4,1
5105(a)(5),Hindering apprehension-false info. to law enforcement ofc.,M-2,2,m
5105(a)(5),Hindering apprehension-false info. to law enforcement ofc. (charge is F1/F2),F-3,4,1
5107(a),Aiding consummation of crime,M-2,2,m
5107(a),Aiding consummation of crime (principal off is F1/F2),F-3,5,1
5108(a),Compounding,M-2,2,m
5109,Barratry-vex with unjust/vexatious suits,M-3,1,m
5110,Contempt of General Assembly,M-3,1,m
5111(a)(1),Dealing in proceeds of unlawful activities-intent to promote act,F-1,8,3
5111(a)(2),Dealing in proceeds of unlawful activities-designed to conceal proceeds,F-1,8,3
5111(a)(3),Dealing in proceeds of unlawful activities-avoid transaction report req.,F-1,8,3
5112(a),Obstructing emergency services,M-3,1,m
5121(a),Permitting/facilitating escape,M-2,3,m
5121(a),Escape,M-2,3,m
5121(a)*,"Escape (from: halfway house, pre-release ctr., treatment ctr., work-release ctr., work-release, or failure to return from an authorized leave/furlough)",F-3,5,1
5121(a)*,Escape (all other specified escapes),F-3,6,1
5121(a)*,"Permitting/facilitating escape (from: halfway house, pre-release ctr., treatment ctr., work-release ctr., work-release, or failure to return from an authorized leave/furlough)",F-3,5,1
5121(a)*,Permitting/facilitating escape (all other specified escapes),F-3,6,1
5122(a)(1),Weapons/implements for escape-provide to inmate,M-1,8,m
5122(a)(2),Weapons/implements for escape-possession,M-1,4,m
,by inmate,,,
5123(a),Contraband-provide controlled substance to inmate,F-2,7,2
5123(a.2),Contraband-possession of controlled,F-2,7,2
,substance by inmate,,,
5123(b),Contraband-provide money to inmate,M-3,1,m
5123(c),Contraband-provide other contraband to inmate,M-1,3,m
5123(c.1),Contraband-provide telecom. device to inmate,M-1,5,m
5123(c.2),Contraband-possession of telecom. device by inmate,M-1,3,m
5124(a),Default in required appearance (felony),F-3,4,1
5124(a),Default in required appearance (non-felony),M-2,2,m
5125,Absconding witness,M-3,1,m
5126(a),Flight to avoid apprehension (felony),F-3,5,1
5126(a),Flight to avoid apprehension (misd.),M-2,2,m
5131(a)(1),Recruiting criminal gang member-solicit/cause/attempt cause (recruitee ›=16 yrs),M-2,2,m
5131(a)(1),Recruiting criminal gang member-solicit/cause/attempt cause (recruitee ‹16 yrs),M-1,3,1
5131(a)(2),Recruiting criminal gang member-inflict BI/physical menace/force (recruitee ›=16,M-1,3,1
,yrs),,,
5131(a)(2),Recruiting criminal gang member-inflict BI/physical menace/force (recruitee ‹16 yrs),F-3,5,1
5131(a)(3),Recruiting criminal gang member-inflict SBI (recruitee ›=16 yrs),F-3,5,1
5131(a)(3),Recruiting criminal gang member-inflict SBI (recruitee ‹16 yrs),F-2,7,2
5301(1),"Official oppression-subjects another to arrest, etc.",M-2,2,m
5301(2),Official oppression-denies another enjoyment of rights,M-2,2,m
5302(1),Speculating/wagering on official action-acquires pecuniary interest,M-2,2,m
5302(2),Speculating/wagering on official action-speculates on information,M-2,2,m
5302(3),Speculating/wagering on official action-aids another,M-2,2,m
5501(1),Riot-intent to commit felony/misd.,F-3,4,1
5501(2),Riot-intent to prevent/coerce official action,F-3,4,1
5501(3),Riot-actor/other plans to use deadly weapon,F-3,4,1
5502,Failure to disperse upon official order,M-2,2,m
5503(a)(1),Disorderly conduct-frightening/threatening behavior (substantial harm/persist after warning),M-3,1,m
5503(a)(2),Disorderly conduct-unreasonable noise (substantial harm/persist after warning),M-3,1,m
5503(a)(3),Disorderly conduct-obscene language (substantial harm/persist after warning),M-3,1,m
5503(a)(4),Disorderly conduct-hazardous condition (substantial harm/persist after warning),M-3,1,m
5506,Loitering and prowling at night time,M-3,1,m
5507(a),"Obstructing highway, etc.-after warning",M-3,1,m
5508,Disrupting meetings and processions,M-3,1,m
5509(a)(1),"Desecration of venerated objects-intentional (public monument, etc.)",M-2,2,m
5509(a)(2),Desecration of venerated objects-intentional (object of veneration),M-2,2,m
5509(a)(3),Desecration of venerated objects-sell,M-2,2,m
,veteran’s marker,,,
5509(a.1),Desecration of venerated objects-historic burial lots,M-1,3,m
5510,Abuse of corpse,M-2,3,m
5511(a)(1),Cruelty to animals-own dog that injures service dog,M-3,1,m
5511(a)(1)(i),Cruelty to animals-kill/maim domestic animal,M-2,3,m
5511(a)(1)(ii),Cruelty to animals-poisons domestic animal,M-2,3,m
5511(a)(1)(iii),Cruelty to animals-harasses/injure etc.,M-2,3,m
,service/guide dog,,,
5511(a)(2)(i),Cruelty to animals-kill/maim zoo animal,F-3,5,1
5511(a)(2)(ii),Cruelty to animals-poison zoo animal,F-3,5,1
5511(a)(2.1)(i)(a),Cruelty to animals-kill/maim dog/cat/service dog (1st off),M-1,3,m
5511(a)(2.1)(i)(a),Cruelty to animals-kill/maim dog/cat/service dog (2nd/subsq off),F-3,5,1
5511(a)(2.1)(i)(b),Cruelty to animals-poison dog/cat (1st off),M-1,3,m
5511(a)(2.1)(i)(b),Cruelty to animals-poison dog/cat (2nd/subsq off),F-3,5,1
5511(c)(1),Cruelty to animals-neglect/mistreat animal in care (2nd/subsq off),M-3,1,m
5511(e.1),Cruelty to animals-transport equines in cruel manner (2nd/subsq off),M-3,1,m
5511(h.1)(1),Cruelty to animals-animal fighting (for amusement/gain),F-3,5,1
5511(h.1)(2),Cruelty to animals-animal fighting (receives compensation),F-3,5,1
5511(h.1)(3),Cruelty to animals-animal fighting (owns fighting animal),F-3,5,1
5511(h.1)(4),Cruelty to animals-animal fighting (encourage/aid/assist),F-3,5,1
5511(h.1)(5),Cruelty to animals-animal fighting (wagers,F-3,5,1
,on fight outcome),,,
5511(h.1)(6),Cruelty to animals-animal fighting (pays admission),F-3,5,1
5511(h.1)(7),Cruelty to animals-animal fighting (permits use of animal for fight),F-3,5,1
5511(h.2),Cruelty to animals-possess animal fighting paraphernalia,M-3,1,m
5511.2(a),Police animals-illegal to taunt,F-3,5,1
5511.2(b),Police animals-illegal to torture,F-2,7,2
5511.3,Assault w/ biological agent on animal/fowl/honey bee,F-2,7,2
5512(b)(1),Lotteries-set up unlawful game,M-1,3,m
5512(b)(2),Lotteries-manuf./etc. unlawful tickets,M-1,3,m
5512(b)(3),Lotteries-publish advertisement,M-1,3,m
5513(a)(1),Gambling devices-intentionally makes gambling device,M-1,3,m
5513(a)(2),Gambling devices-allows assemble for gambling,M-1,3,m
5513(a)(3),Gambling devices-solicits/invites person for gambling,M-1,3,m
5513(a)(4),Gambling devices-allows gambling on premises,M-1,3,m
5513(a.1)(1),Gambling devices-electronic video monitor: indirect or direct consideration,M-1,3,m
5513(a.1)(2),Gambling devices-electronic video monitor: player eligible for prize,M-1,3,m
5514(1),Pool selling and bookmaking-engage in,M-1,3,m
5514(2),Pool selling and bookmaking-occupy place,M-1,3,m
5514(3),Pool selling and bookmaking-receives bet on political outcome,M-1,3,m
5514(4),Pool selling and bookmaking-custodian of property wagered (for gain),M-1,3,m
5514(5),Pool selling and bookmaking-knowingly permit premises to be used,M-1,3,m
5515(b)(1),Prohibiting of paramilitary training-teaching,M-1,3,m
5515(b)(2),Prohibiting of paramilitary training-assembles for training,M-1,3,m
5516(a)(1),Facsimile weapons of mass destruction-terrifying/etc. individual,F-3,5,1
5516(a)(2)(i),Facsimile weapons of mass destruction-reaction of org. wh/deals w/emergency,F-3,5,1
5516(a)(2)(ii),Facsimile weapons of mass destruction-reaction of law enforcement agency,F-3,5,1
5516(a)(3),Facsimile weapons of mass destruction-,F-3,5,1
,serious public inconvenience,,,
5517(a),Unauthorized school bus entry,M-3,1,m
5703,Interception of wire/oral communication,F-3,5,1
5703(1),Interception of wire/oral communication-intentionally intercepts,F-3,5,1
5703(2),Interception of wire/oral communication-discloses contents,F-3,5,1
5703(3),Interception of wire/oral communication-use contents,F-3,5,1
5705(1),Possess/etc. of interception devices-intentionally possess/etc.,F-3,5,1
5705(2),Possess/etc. of interception devices-intentionally sells/etc.,F-3,5,1
5705(3),Possess/etc. of interception devices-intentionally manufactures/etc.,F-3,5,1
5705(4),Possess/etc. of interception devices-intentionally advertises/etc.,F-3,5,1
5719,Unlawful use of order concerning intercepted communications,M-2,2,m
5741(a)(1),Unlawf. access stored communications-access w/o authority-for gain (1st off),M-3,1,m
5741(a)(1),Unlawf. access stored communications-access w/o authority-for gain (2nd/subsq off),M-2,2,m
5741(a)(2),Unlawf. access stored communications-,M-3,1,m
,exceed authorization-for gain (1st off),,,
5741(a)(2),Unlawf. access stored communications-,M-2,2,m
,exceed authorization-for gain (2nd/subsq off),,,
5771(a),Prohibit pen register & trap/trace device,M-3,1,m
5901,Open lewdness,M-3,1,m
5902(a)(1),Prostitution-business (1st/2nd off),M-3,1,m
5902(a)(1),Prostitution-business (3rd off),M-2,3,m
5902(a)(1),Prostitution-business (4th/subsq off),M-1,4,m
5902(a)(1),Prostitution-business (HIV positive/AIDS),F-3,7,1
5902(a)(2),Prostitution (1st/2nd off),M-3,1,m
5902(a)(2),Prostitution (3rd off),M-2,3,m
5902(a)(2),Prostitution (4th/subsq off),M-1,4,m
5902(a)(2),Prostitution (HIV positive/AIDS),F-3,7,1
5902(b)(1),Promoting prostitution-own house/business,F-3,5,1
5902(b)(2),Promoting prostitution-procure prostitute for house,F-3,5,1
5902(b)(3),Promoting prostitution-encourage prostitution,F-3,5,1
5902(b)(4),Promoting prostitution-solicit patron,M-2,3,m
5902(b)(4),Promoting prostitution-solicit patron (compel),F-3,5,1
5902(b)(4),Promoting prostitution-solicit patron (HIV positive/AIDS),F-3,5,1
5902(b)(4),Promoting prostitution-solicit patron (spouse/child/ward),F-3,5,1
5902(b)(5),Promoting prostitution-procure prostitute,M-2,3,m
5902(b)(5),Promoting prostitution-procure prostitute (compel),F-3,5,1
5902(b)(5),Promoting prostitution-procure prostitute,F-3,5,1
,(HIV positive/AIDS),,,
5902(b)(5),Promoting prostitution-procure prostitute (spouse/child/ward),F-3,5,1
5902(b)(6),Promoting prostitution-transport prostitute,M-2,3,m
5902(b)(6),Promoting prostitution-transport prostitute (compel),F-3,5,1
5902(b)(6),Promoting prostitution-transport prostitute (HIV positive/AIDS),F-3,5,1
5902(b)(6),Promoting prostitution-transport prostitute (spouse/child/ward),F-3,5,1
5902(b)(7),Promoting prostitution-provide place for prostitution,M-2,3,m
5902(b)(7),Promoting prostitution-provide place for prostitution (compel),F-3,5,1
5902(b)(7),Promoting prostitution-provide place for prostitution (HIV positive/AIDS),F-3,5,1
5902(b)(7),Promoting prostitution-provide place for prostitution (spouse/child/ward),F-3,5,1
5902(b)(8),Promoting prostitution-receive benefit,M-2,3,m
5902(b)(8),Promoting prostitution-receive benefit (compel),F-3,5,1
5902(b)(8),Promoting prostitution-receive benefit (HIV positive/AIDS),F-3,5,1
5902(b)(8),Promoting prostitution-receive benefit (spouse/child/ward),F-3,5,1
5902(b.1)(1)*,Promoting prostitution of minor-business (16-‹18 yrs),F-3,6,1
5902(b.1)(1)*,Promoting prostitution of minor-business (‹16 yrs),F-3,8,1
5902(b.1)(2)*,Promoting prostitution of minor-procure (16-‹18 yrs),F-3,6,1
5902(b.1)(2)*,Promoting prostitution of minor-procure,F-3,8,1
,(‹16 yrs),,,
5902(b.1)(3)*,Promoting prostitution of minor-induce (16-‹18 yrs),F-3,6,1
5902(b.1)(3)*,Promoting prostitution of minor-induce (‹16 yrs),F-3,8,1
5902(b.1)(4)*,Promoting prostitution of minor-solicit minor to patronize (16-‹18 yrs),F-3,6,1
5902(b.1)(4)*,Promoting prostitution of minor-solicit minor to patronize (‹16 yrs),F-3,8,1
5902(b.1)(5)*,Promoting prostitution of minor-procure,F-3,6,1
,minor prostitute for patron (16-‹18 yrs),,,
5902(b.1)(5)*,Promoting prostitution of minor-procure,F-3,8,1
,minor prostitute for patron (‹16 yrs),,,
5902(b.1)(6)*,Promoting prostitution of minor-transport minor for prostitution (16-‹18 yrs),F-3,6,1
5902(b.1)(6)*,Promoting prostitution of minor-transport minor for prostitution (‹16 yrs),F-3,8,1
5902(b.1)(7)*,Promoting prostitution of minor-provide,F-3,6,1
,place for prostitution (16-‹18 yrs),,,
5902(b.1)(7)*,Promoting prostitution of minor-provide,F-3,8,1
,place for prostitution (‹16 yrs),,,
5902(b.1)(8)*,Promoting prostitution of minor-receive benefit (16-‹18 yrs),F-3,6,1
5902(b.1)(8)*,Promoting prostitution of minor-receive benefit (‹16 yrs),F-3,8,1
5902(d),Living off prostitutes,M-2,3,m
5902(d),Living off prostitutes (compel),F-3,5,1
5902(d),Living off prostitutes (HIV positive/AIDS),F-3,5,1
5902(d),Living off prostitutes (spouse/child/ward),F-3,5,1
5902(e),Patronizing prostitutes (1st/2nd off),M-3,1,m
5902(e),Patronizing prostitutes (3rd off),M-2,3,m
5902(e),Patronizing prostitutes (4th/subsq off),M-1,4,m
5902(e),Patronizing prostitutes (HIV positive/AIDS),F-3,7,1
5903(a)(1),Obscene materials-display (1st off & not for resale),M-1,3,m
5903(a)(1),Obscene materials-display (2nd/subsq off or for resale),F-3,5,1
5903(a.1),Obscene materials-disseminate via elec. comm. (1st off & not for resale),M-1,3,m
5903(a.1),Obscene materials-disseminate via elec. comm. att. evade prosec. (1st) (additional penalty),M-1,3,m
5903(a.1),Obscene materials-disseminate via elec. comm: att. evade prosec. (2nd) (additional penalty),M-1,3,m
5903(a)(2),Obscene materials-sell (1st off & not for resale),M-1,3,m
5903(a)(2),Obscene materials-sell (2nd/subsq off or for resale),F-3,5,1
5903(a)(3)(i),Obscene materials-design (1st off & not for resale),M-1,3,m
5903(a)(3)(i),Obscene materials-design (2nd/subsq off or for resale),F-3,5,1
5903(a)(3)(ii),Obscene materials-design: minor depicted,M-1,4,m
,(1st off & not for resale),,,
5903(a)(3)(ii),Obscene materials-design: minor depicted (2nd/subsq off or for resale),F-3,6,1
5903(a)(4)(i),Obscene materials-prepare ad (1st off & not for resale),M-1,3,m
5903(a)(4)(i),Obscene materials-prepare ad (2nd/subsq off or for resale),F-3,5,1
5903(a)(4)(ii),Obscene materials-prepare ad: minor included (1st off & not for resale),M-1,4,m
5903(a)(4)(ii),Obscene materials-prepare ad: minor included (2nd/subsq off or for resale),F-3,6,1
5903(a)(5)(i),Obscene materials-produce performance (1st off & not for resale),M-1,3,m
5903(a)(5)(i),Obscene materials-produce performance (2nd/subsq off or for resale),F-3,5,1
5903(a)(5)(ii),Obscene materials-produce performance: minor included (1st off & not for resale),M-1,4,m
5903(a)(5)(ii),Obscene materials-produce performance: minor included (2nd/subsq off or for resale),F-3,6,1
5903(a)(6),Obscene materials-use minor to assist (1st off & not for resale),M-1,4,m
5903(a)(6),Obscene materials-use minor to assist (2nd/subsq off or for resale),F-3,6,1
5903(a)(7),Obscene materials-deliver to correctnl facility (1st off & not for resale),M-1,3,m
5903(a)(7),Obscene materials-deliver to correctnl facility (2nd/subsq off or for resale),F-3,5,1
5903(a)(8),Obscene materials-inmate possesses (1st off,M-1,3,m
,& not for resale),,,
5903(a)(8),Obscene materials-inmate possesses (2nd/subsq off or for resale),F-3,5,1
5903(a)(9),Obscene materials-permit into correctnl inst (1st off & not for resale),M-1,3,m
5903(a)(9),Obscene materials-permit into correctnl inst (2nd/subsq off or for resale),F-3,5,1
5903(c)(1),Obscene materials-disseminate pictures to minors (1st off),F-3,5,1
5903(c)(1),Obscene materials-disseminate pictures to minors (2nd/subsq off),F-2,7,2
5903(c)(2),Obscene materials-disseminate print/audio to minors (1st off),F-3,5,1
5903(c)(2),Obscene materials-disseminate print/audio to minors (2nd/subsq off),F-2,7,2
5903(d),Obscene materials-admit minor to show (1st off),F-3,5,1
5903(d),Obscene materials-admit minor to show (2nd/subsq off),F-2,7,2
5903(f),Obscene materials-require sale,M-1,3,m
5904,Public exhibition of insane/deformed person,M-2,2,m
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (loaded/ammo available) ((a.1)(1)),F-2,10,2
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (loaded/ammo available) ((a.1)(1)) (previous conviction),F-1,11,3
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (loaded/ammo available) ((a.1)(1)) (possession/control of firearm or within reach),F-1,11,3
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (unloaded/no ammo available) ((a.1)(1)),F-2,9,2
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (unloaded/no ammo available) ((a.1)(1)) (previous conviction),F-1,10,3
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated felony or drug felony (unloaded/no ammo available) ((a.1)(1)) (possession/control of firearm or within reach),F-1,10,3
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated misd. (loaded/ammo available) ((a.1)(1)),M-1,3,1
6105(a)(1)*,Firearms-persons not to possess: convicted of enumerated misd. (unloaded/no ammo available) ((a.1)(1)),M-1,3,1
6105(a)(1)*,Firearms-persons not to possess: accept w/PFA (loaded/ammo available) ((a.1)(2)(i)),M-3,2,m
6105(a)(1)*,Firearms-persons not to possess: accept w/PFA (unloaded/no ammo available) ((a.1)(2)(i)),M-3,1,m
6105(a)(1)*,Firearms-persons not to possess: fail to relinquish w/PFA (loaded/ammo available) ((a.1)(2)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: fail to relinquish w/PFA (unloaded/no ammo available) ((a.1)(2)),M-1,4,1
6105(a)(1)*,Firearms-persons not to possess: return to person w/PFA (loaded/ammo available) ((a.1)(5)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: return to person w/PFA (unloaded/no ammo available) (a.1)(5),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: fugitive,M-1,6,1
,from justice (loaded/ammo available) ((c)(1)),,,
6105(a)(1)*,Firearms-persons not to possess: fugitive from justice (unloaded/no ammo available) ((c)(1)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: convicted of drug misdemeanor (loaded/ammo available) ((c)(2)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: convicted of drug misdemeanor (unloaded/no ammo available) ((c)(2)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: convicted of DUI (loaded/ammo available) ((c)(3)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: convicted of DUI (unloaded/no ammo available) ((c)(3)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: incompetent/mental illness (loaded/ammo available) ((c)(4)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: incompetent/mental illness (unloaded/no ammo available) ((c)(4)),M-1,4,1
6105(a)(1)*,Firearms-persons not to possess: alien (loaded/ammo available) ((c)(5)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: alien (unloaded/no ammo available) ((c)(5)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: active PFA (loaded/ammo available) ((c)(6)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: active PFA (unloaded/no ammo available) ((c)(6)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: adjudicated delinquent (loaded/ammo available) ((c)(7)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: adjudicated delinquent (unloaded/no ammo available) ((c)(7)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: adjudicated delinquent (loaded/ammo available) ((c)(8)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: adjudicated delinquent (unloaded/no ammo available) ((c)(8)),M-1,5,1
6105(a)(1)*,Firearms-persons not to possess: other under U.S.C. (loaded/ammo available) ((c)(9)),M-1,6,1
6105(a)(1)*,Firearms-persons not to possess: other under U.S.C. (unloaded/no ammo available) ((c)(9)),M-1,5,1
6106(a)(1)*,Firearms-carried w/o license: ineligible (loaded/ammo available),F-3,9,1
6106(a)(1)*,Firearms-carried w/o license: ineligible (unloaded/no ammo available),F-3,7,1
6106(a)(2)*,Firearms-carried w/o license: eligible,F-3,9,1
,(loaded/ammo available & crim act.),,,
6106(a)(2)*,Firearms-carried w/o license: eligible (unloaded/no ammo available & crim act.),F-3,7,1
6106(a)(2)*,Firearms-carried w/o license (loaded/ammo available/no other crim. act.),M-1,4,1
6106(a)(2)*,Firearms-carried w/o license (unloaded/no ammo available/no other crim. act.),M-1,3,1
6107(a),Firearms-prohibited conduct during emergency,M-1,3,1
6108*,Firearms-carrying in Philadelphia (loaded/ammo available),M-1,5,1
6108*,Firearms-carrying in Philadelphia (unloaded/,M-1,4,1
,no ammo available),,,
6110.1(a),Firearms-possession by minor,M-1,3,1
6110.1(c),Firearms-delivery to minor by adult,F-3,7,1
6110.2(a)*,Firearms-possession w/altered mfr. num. (loaded/ammo available),F-2,10,2
6110.2(a)*,Firearms-possession w/altered mfr. num. (unloaded/no ammo available),F-2,9,2
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs,M-2,2,m
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs (2nd/subsq off),F-2,9,2
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs (false statements),F-3,8,1
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs (inappropriate use of crim history),F-3,5,1
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs (sell to ineligible),F-3,8,1
6111(a)(1),Firearms-sale/transfer: deliver before 48 hrs (unlawful crim history request),F-3,5,1
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,M-2,2,m
,history check,,,
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,F-2,9,2
,history check (2nd/subsq off),,,
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,F-3,8,1
,history check (false statements),,,
6111(a)(2),Firearms-sale/transfer: deliver w/o crim,F-3,5,1
,history check (inappropriate use of crim history),,,
